"nursery_id"	"2-hexanone-1,1,1,3.3-d5"	"Benzaldehyde-d6"	"Ethyl acetate-d8"
"351"	5109	2241362	751370	718184
"352"	5117	4454352	1319703	1297068
"353"	5120	4206365	1301782	1073130
"354"	5124	4432359	1284130	1178941
"355"	5130	4268696	1273472	985821
"356"	5136	4401599	1345123	1395812
"357"	5140	4492669	1296102	1256561
"358"	5142	4938580	1319499	1615261
"359"	5146	2100723	782203	648721
"360"	5148	2335522	769060	788658
"361"	5155	2873564	1153022	363789
"362"	5168	3228862	1059132	NA
"363"	5171	3995926	1289647	1114444
"364"	5177	4454237	1264577	1353197
"365"	5183	3385779	1120081	1138198
"366"	5192	4957362	1338420	1607893
"367"	5195	4359644	1305304	1302767
"368"	5200	3192986	1086493	1150554
"369"	5209	3215103	1088075	1022944
"370"	5214	3519643	1182289	751361
"371"	5217	4237670	1260797	672439
"372"	5222	4620009	1226365	1072663
"373"	5232	3267670	1030604	1047422
"374"	5237	2998970	1047028	872958
"375"	5246	3671556	1141221	1199188
"376"	5250	2301351	752593	798483
"377"	5254	2425439	815627	827222
"378"	5280	2124445	750453	748967
"379"	5290	2416080	761216	805428
"380"	5296	2002715	804739	679121
"381"	5306	3175272	1055387	979333
"382"	6012	3061068	1027931	644728
"383"	6013	2276121	733478	540684
"384"	6019	2303033	740684	811763
"385"	6027	2102794	712241	597374
"386"	6031	2162484	825022	530446
"387"	6038	2366300	711640	794726
"388"	6042	3225058	1089639	1048090
"389"	6046	3389897	1053693	1104018
"390"	6053	3049070	1027304	1173022
"391"	6055	2332477	738113	379876
"392"	6059	2439015	704806	688699
"393"	6064	2306051	730812	761636
"394"	6079	3240860	1106898	957869
"395"	6088	2197805	700097	765661
"396"	6109	2388354	606024	723377
"397"	6119	1793380	650968	641690
"398"	6135	2102714	666863	663303
"399"	6136	2937834	1025603	794055
"400"	6143	1817699	523296	410296
"401"	6151	2116949	659039	694101
"402"	6156	3291855	1082443	1067859
"403"	6158	3568197	1145643	1336872
"404"	6166	3818531	1178969	1358836
"405"	6167	2923502	1078096	663111
"406"	6170	2869353	1107518	321656
"407"	6173	3897534	1169594	1404146
"408"	6175	3696915	1124211	1300409
"409"	6184	3052652	1021470	936485
"410"	6188	3561893	1127285	1143482
"411"	6191	3320668	1101414	564924
"412"	6194	4111275	1212677	1508154
"413"	6196	3360182	1149727	961999
"414"	6202	3422177	1257053	652452
"415"	6214	3456586	1141661	921741
"416"	6233	3602975	1095753	1187581
"417"	6237	3502507	1096086	919687
"418"	6246	3849524	1138014	1052079
"419"	6248	4141611	1449274	1070058
"420"	6250	3655863	1122137	1052620
"421"	6255	3735364	1111040	1222391
"422"	6258	3310765	1032281	774729
"423"	6266	3578984	1117833	927760
"424"	6271	2406259	999117	449671
"425"	6276	3568034	1093570	1018340
"426"	6279	3993562	1157656	1385288
"427"	6281	2618823	953437	796805
"428"	6284	3511384	1052382	1058113
"429"	6292	3407979	1059719	1047458
"430"	6295	3451488	1083025	1114979
"431"	6303	3490597	1168394	890277
"432"	6308	3292312	1082239	1055862
"433"	6311	3295407	1043314	1076385
"434"	6320	3483816	1054752	1162786
"435"	7012	3179392	1001333	806020
"436"	7017	3484477	1023553	1213968
"437"	7030	3027941	989776	834196
"438"	7052	3141551	1018227	1145051
"439"	7055	2338759	964516	490273
"440"	7056	3429051	977507	1155512
"441"	7063	2961252	1037942	921829
"442"	7068	3114346	975644	959059
"443"	7083	3244858	965474	1040165
"444"	7108	3274769	953418	1149753
"445"	7118	2913477	1001818	1007005
"446"	7131	3093722	972554	889858
"447"	7147	3089550	982561	789508
"448"	7154	3080947	1046907	901666
"449"	7164	3357826	1108679	1108099
"450"	7169	3007545	1054793	696397
"451"	7174	3622445	1105028	1088513
"452"	7183	3412393	1035124	1094866
"453"	7188	2870612	951016	892161
"454"	7202	3479585	1089221	1085332
"455"	7204	2672215	999104	270796
"456"	7209	3329675	1104190	809180
"457"	7213	3496578	1115974	1111424
"458"	7215	3289540	1128687	890507
"459"	7234	3326510	1105989	822431
"460"	7237	3706127	1070767	853815
"461"	7251	3667996	1126294	985649
"462"	7254	3343125	1090959	570435
"463"	7262	4242495	1262416	1143829
"464"	7263	3949495	1110005	959433
"465"	7267	3248693	1021215	536932
"466"	7273	3828996	1133179	1167670
"467"	7275	3235735	998141	618463
"468"	7285	3062900	1023419	432920
"469"	7291	3678203	1139645	1051259
"470"	7293	3581947	1070985	1062332
"471"	7299	3571829	1051580	1014174
"472"	7303	3147666	1017624	980201
"473"	7310	2882468	965552	590331
"474"	7315	3160757	994262	826301
"475"	8013	2783096	1011903	796131
"476"	8018	3378553	1018601	1041372
"477"	8023	3144856	1045667	925818
"478"	8030	2957413	900955	672597
"479"	8033	2012697	875437	271526
"480"	8036	3026786	912408	893156
"481"	8042	3096365	885217	789933
"482"	8048	2601073	972429	766235
"483"	8056	2806768	894219	755420
"484"	8059	2440314	907506	338217
"485"	8061	2469527	1013634	631012
"486"	8074	2852450	978334	582153
"487"	8081	3179137	942507	875651
"488"	8084	3577537	1132010	1159655
"489"	8087	2624944	956457	711998
"490"	8089	2958072	943569	778969
"491"	8095	5096627	1540882	1689389
"492"	8096	2757941	1004271	965823
"493"	8100	4691600	1635774	1180499
"494"	8105	4899471	1538040	1360098
"495"	8108	2864839	940050	962393
"496"	8111	4919307	1482081	1442604
"497"	8140	2520146	936021	664312
"498"	8144	5062283	1498543	1620888
"499"	8148	2805423	994061	401759
"500"	8165	4443037	1442164	845384
"501"	8168	2858830	936703	1040122
"502"	8171	4263246	1573016	998431
"503"	8175	2930744	947137	1028392
"504"	8178	4100732	1457073	805308
"505"	8180	5058296	1478911	1399267
