"apple_id"	"nursery_id"
"407"	140	2212
"408"	140	2214
"409"	48	1143
"410"	48	1144
"411"	62	1187
"412"	62	1189
"413"	145	2227
"414"	145	2228
"415"	588	6295
"416"	588	6296
"417"	131	2185
"418"	131	2187
"419"	226	3181
"420"	226	3182
"421"	208	3119
"422"	208	3120
"423"	11	1031
"424"	11	1033
"425"	43	1127
"426"	43	1128
"427"	43	1129
"428"	74	1223
"429"	74	1225
"430"	209	3121
"431"	209	3122
"432"	224	3175
"433"	224	3176
"434"	194	3061
"435"	194	3063
"436"	135	2198
"437"	135	2199
"438"	169	2309
"439"	169	2310
"440"	620	7082
"441"	192	3056
"442"	192	3057
"443"	220	3163
"444"	220	3165
"445"	73	1220
"446"	73	1221
"447"	181	3016
"448"	181	3018
"449"	203	3097
"450"	203	3099
"451"	198	3079
"452"	198	3080
"453"	179	3010
"454"	179	3011
"455"	56	1169
"456"	56	1170
"457"	56	1171
"458"	6	1017
"459"	6	1018
"460"	10	1028
"461"	10	1029
"462"	10	1030
"463"	13	1037
"464"	13	1039
"465"	14	1041
"466"	14	1042
"467"	15	1044
"468"	15	1045
"469"	16	1046
"470"	16	1048
"471"	18	1052
"472"	18	1054
"473"	19	1055
"474"	19	1057
"475"	20	1058
"476"	20	1059
"477"	21	1061
"478"	21	1063
"479"	22	1064
"480"	22	1066
"481"	23	1067
"482"	23	1069
"483"	25	1073
"484"	25	1074
"485"	27	1079
"486"	27	1081
"487"	28	1083
"488"	28	1084
"489"	29	1085
"490"	29	1087
"491"	30	1089
"492"	30	1090
"493"	32	1095
"494"	32	1096
"495"	33	1097
"496"	33	1099
"497"	34	1100
"498"	34	1101
"499"	35	1104
"500"	35	1105
"501"	36	1106
"502"	36	1108
"503"	37	1110
"504"	37	1111
"505"	38	1112
"506"	38	1113
"507"	41	1122
"508"	41	1123
"509"	44	1130
"510"	44	1131
"511"	46	1137
"512"	46	1138
"513"	47	1139
"514"	47	1140
"515"	49	1146
"516"	49	1147
"517"	50	1148
"518"	50	1149
"519"	51	1152
"520"	51	1153
"521"	52	1157
"522"	52	1158
"523"	53	1161
