Row,Block,Tree,nursery_id,year_planted,guard_tree,check_tree,dead_tree,PLANTID,PLANTID_ALT1,ACCID,ACP,ACNO,ACS,kentville_block,origin,apple_id,type
6,South,49,6027,2013,0,0,0,"Berner Rosen",,17143,PI,589435,.06,NULL,USDA,503,dessert
11,North,53,5111,2013,0,0,1,"Bessemianka Michurina",,3710,PI,588843,.05,NULL,USDA,424,cider
8,South,39,5113,2013,0,0,1,"Bessemianka Michurina",,3710,PI,588843,.05,NULL,USDA,424,cider
16,North,29,5153,2013,0,0,0,"Beverly Hills",,21821,PI,589886,.04,NULL,USDA,438,cider
2,South,49,5155,2013,0,0,0,"Beverly Hills",,21821,PI,589886,.04,NULL,USDA,438,cider
17,North,33,6133,2013,0,0,0,"Binet Rouge",,138366,PI,158730,.04,NULL,USDA,537,cider
8,South,14,6135,2013,0,0,0,"Binet Rouge",,138366,PI,158730,.04,NULL,USDA,537,cider
19,North,46,4301,2013,0,0,0,Bisbee,,2583,PI,588790,.11,NULL,USDA,374,dessert
4,South,20,4302,2013,0,0,0,Bisbee,,2583,PI,588790,.11,NULL,USDA,374,dessert
19,North,51,5057,2013,0,0,0,"Bisbee Giant Winesap",,6388,PI,588967,.12,NULL,USDA,406,dessert
3,South,26,5059,2013,0,0,0,"Bisbee Giant Winesap",,6388,PI,588967,.12,NULL,USDA,406,dessert
6,North,40,5048,2013,0,0,0,"Black Ben Davis",,11021,PI,589178,.07,NULL,USDA,403,dessert
5,South,43,5050,2013,0,0,0,"Black Ben Davis",,11021,PI,589178,.07,NULL,USDA,403,dessert
3,North,48,4328,2013,0,0,1,"Black Crofton",,11451,PI,589197,.09,NULL,USDA,383,cider
10,South,20,4329,2013,0,0,1,"Black Crofton",,11451,PI,589197,.09,NULL,USDA,383,cider
9,North,49,6187,2013,0,0,0,"Black Gilliflower",,6460,PI,588973,.12,NULL,USDA,555,dessert
9,South,56,6188,2013,0,0,0,"Black Gilliflower",,6460,PI,588973,.12,NULL,USDA,555,dessert
7,North,14,5183,2013,0,0,0,"Black Oxford",,137647,PI,157052,.08,NULL,USDA,448,dessert
14,South,48,5184,2013,0,0,0,"Black Oxford",,137647,PI,157052,.08,NULL,USDA,448,dessert
7,North,27,5168,2013,0,0,0,"Blahova Ruzena",,17879,PI,589532,.08,NULL,USDA,443,dessert
15,South,43,5169,2013,0,0,0,"Blahova Ruzena",,17879,PI,589532,.08,NULL,USDA,443,dessert
16,North,33,5280,2013,0,0,0,Blairmont,,21827,PI,589887,.04,NULL,USDA,480,cider
19,South,57,5281,2013,0,0,0,Blairmont,,21827,PI,589887,.04,NULL,USDA,480,cider
2,North,5,5322,2013,0,0,1,"Blanc Mollet",,140206,PI,162719,.06,NULL,USDA,494,cider
12,South,39,5323,2013,0,0,0,"Blanc Mollet",,140206,PI,162719,.06,NULL,USDA,494,cider
7,North,42,5141,2013,0,0,0,Blaxtayman,,21830,PI,589888,.05,NULL,USDA,434,cider
3,South,25,5142,2013,0,0,0,Blaxtayman,,21830,PI,589888,.05,NULL,USDA,434,cider
9,North,19,6170,2013,0,0,0,Blaze,,21835,PI,589889,.04,NULL,USDA,549,dessert
11,South,40,6171,2013,0,0,0,Blaze,,21835,PI,589889,.04,NULL,USDA,549,dessert
17,North,61,5156,2013,0,0,0,"Blenheim Orange",,18328,PI,589593,.06,NULL,USDA,439,cider
14,South,13,5158,2013,0,0,0,"Blenheim Orange",,18328,PI,589593,.06,NULL,USDA,439,cider
6,North,14,5150,2013,0,0,0,Boiken,,9860,PI,589134,.08,NULL,USDA,437,cider
