"nurseryid"	"(Z)-4-Decen-1-ol"	"1-Butanol"	"1-Butanol, 2-methyl-, (S)-"	"1-Butanol, 2-methyl-, acetate"	"1-Heptanol"	"1-Hexanol"	"1-Pentanol"	"1-Propanol"	"1-Propanol, 2-methyl-"	"1,3-Dioxolane, 2,4,5-trimethyl-"	"2-Butenoic acid, ethyl ester, (Z)-"	"2-Hexenal"	"2-Propanone, 1-hydroxy-"	"2-Propenal"	"2,3-Butanediol, [S-(R*,R*)]-"	"2,3-Butanedione"	"à-Farnesene"	"Acetic acid"	"Acetic acid, butyl ester"	"Acetic acid, hexyl ester"	"Acetic acid, methyl ester"	"Acetic acid, pentyl ester"	"Acetone"	"Benzene"	"Benzene, (methoxymethyl)-"	"Butanal"	"Butanoic acid, 2-methyl-, ethyl ester"	"Butanoic acid, 2-methyl-, hexyl ester"	"Butanoic acid, 2-methylbutyl ester"	"Butanoic acid, 2-methylpropyl ester"	"Butanoic acid, hexyl ester"	"Butanoic acid, methyl ester"	"Butanoic acid, pentyl ester"	"Butanoic acid, propyl ester"	"Butyrolactone"	"Carbon disulfide"	"Dimethyl ether"	"Estragole"	"Ethanol"	"Ethyl Acetate"	"Furan, 2-ethyl-"	"Furfural"	"Heptanal"	"Hexamethylene diacrylate"	"Hexanal"	"Hexane, 1-methoxy-"	"Hexanoic acid, ethyl ester"	"Hexanoic acid, propyl ester"	"Isobutyl acetate"	"Isopropyl Alcohol"	"Methyl formate"	"Methyl glyoxal"	"Methylene chloride"	"n-Propyl acetate"	"Nitrous oxide"	"Pentanal"	"Propanal"	"Propanoic acid, butyl ester"	"Propanoic acid, hexyl ester"	"Propanoic acid, propyl ester"	"Tetrahydrofuran"	"Trimethylene oxide"
1031	0	10895680	0	0	0	0	666192	0	0	0	0	0	0	0	0	0	0	0	444749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1041	0	6309057	0	24160083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60872856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1057	0	8783790	0	129715728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146642208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7701863	0	0	0	5440993	0	468873	0	0
1058	0	14182134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	403418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6489919	44787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	572714	0	0	0	0
1061	0	5271193	0	43773463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74759378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1830135	0	0	0	0	0	0	0	0
1064	0	6785249	0	10872754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1986345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	730049	0	0	0	450395	0	0	0	0
1067	0	4119619	0	78425742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142075591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92246	0	0	0	0	0	566001	0	0	0	0	0	0	0	0	0	0	0	0	1185789	0	0	0	0	0	0	0	0
1071	0	9091978	0	68443877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78323717	0	0	0	0	0	0	0	0	0	0	0	0	0	35994605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2286780	55893	0	0	1708663	0	3935739	0	0
1073	0	3762540	0	132936839	0	0	189018	0	0	0	0	0	0	0	0	0	0	870898	0	53974869	0	10787649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7043575	0	0	0	2432354	0	0	0	0
1076	0	8506415	0	51967263	0	0	328364	0	0	0	0	0	0	0	0	0	0	545416	0	101829952	98055	10608293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	491766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4540234	0	0	0	0	0	0	0	0
1081	0	7254047	0	13671335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76339582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	976929	0	0	0	0	0	0	0	0
1090	0	5698115	0	59934503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104988161	52844324	0	6384169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1752519	0	0	0	0	0	0	0	0	0	0	0	0	0	9822109	0	0	0	0	0	652231	0	0
1091	0	6499208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1105	0	2905867	0	27515667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	777051	0	0	0	72938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1907503	0	0	0	916027	0	0	0	0
1108	0	2409036	0	24808389	0	0	0	0	0	0	0	0	0	0	0	0	0	133876	0	57710092	0	13002134	0	0	0	0	0	0	0	0	0	0	0	0	42921	0	0	0	0	20840438	0	0	0	0	0	0	0	0	0	0	0	0	0	3492975	0	0	0	0	0	0	0	0
1115	0	6217922	0	72311769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56475381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2030026	159846	0	0	0	0	0	0	0
1127	0	1919881	0	26670936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109617467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1400495	0	0	0	623178	0	0	0	0
1130	0	7733422	0	1794700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95139460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	570143	0	0	0	0	0	0	0	0
1134	0	4269015	0	83762101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39393724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3727215	0	0	0	3236938	0	3857266	0	0
1140	0	4497639	0	38551009	0	5704476	0	0	0	0	0	0	0	0	0	0	0	0	0	91533634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1589612	0	0	0	0	0	0	0	0
1147	0	2076882	0	24199631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54727618	32893942	0	0	0	0	0	0	0	0	0	0	822080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1158	0	1492509	0	13794340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49543539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1162	0	1572853	0	26469326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12988161	0	0	1764772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	386778	0	0	0	0	0	0	0	0
1169	0	10862952	0	24801712	75173	0	373805	0	0	0	0	0	0	0	0	0	0	0	28824798	0	0	878206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53975037	0	0	0	0	0	0	0	0	1131301	0	0	0	508318	0	360329	0	0
1172	0	11789158	0	0	188305	0	1553244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	522096	0	0	719139	10122319	0	0	0	0	0	0	0	0	0	62103	85895317	22302	0	0	0	0	0	0	0	0	0	0	0	329157	0	0	0	0
1179	0	3069056	0	16215874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63558120	0	0	0	0	0	0	0	0	0	0	0	4476143	0	173682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	716459	0	0	0	1023008	0	0	0	0
1181	0	3336048	0	101975711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86325108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8971570	0	0	0	3295998	0	1032669	0	0
1186	0	30025105	0	54258788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23204022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7665267	0	0	0	0	0	0	0	0
1187	0	17838283	0	0	0	0	803000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64555	0	0	0	0	0	0	0	0	4765724	0	11230825	0	0	0	0	0	0	0	0	0	0	0	0	5424425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1194	0	6417219	0	43304474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48066789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1507706	0	0	0	0	1045912	0	0	0	0	0	0	0	0
1196	0	8093867	0	43896653.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50222486.5	19534803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49012	0	0	0	0	0	103102260	0	0	0	0	0	0	0	0	14107303	0	0	0	2831557	0	4593080	0	0
1202	0	7131817	0	24716138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125510076	73655443	99953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2950107	0	0	0	0	0	0	0	0
1207	0	1223624	0	33038455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16416899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	544157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1209	0	3290063	0	52944611	0	0	0	0	0	0	0	0	0	0	0	0	0	1064729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2252994	57662130	0	0	0	0	0	0	0	0	0	0	0	0	0	4103155	0	0	0	0	0	0	0	0
1212	0	3168396	0	0	0	0	316821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3843477	0	0	0	33460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1215	0	6081867	0	39159314	0	0	265260	0	0	0	0	0	0	0	0	0	0	336586	0	108512833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58602685	0	0	0	0	0	0	0	0	2032900	0	0	0	0	0	0	0	0
1219	0	5687747	0	42191322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1102566	0	0	0	505995	0	0	0	0
1223	0	8788256	0	108113357	0	0	0	0	0	0	0	0	0	0	0	0	0	176703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24543048	0	0	0	3443113	0	2148548	0	0
1227	0	12185214	0	51781512	0	0	0	0	0	0	0	0	0	0	0	0	0	326279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4304362	0	0	0	2448507	0	0	0	0
1237	0	5587139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5215749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1239	0	1779804	0	5533631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33844801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	474957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1242	0	10350932	0	0	0	0	619790	0	0	0	0	0	0	0	0	0	0	0	393262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3816510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1248	0	14712783	0	0	0	0	1577456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86003	0	0	848076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76083758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1256	0	8062238	0	0	0	0	967030	0	142018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1628763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1264	0	809841	0	17502778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11931517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1267	0	16828287	0	0	0	0	1221392	0	0	0	0	0	0	0	0	0	0	0	855198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2877547	0	0	0	0	126660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1285	0	2443132	0	74446520	0	0	0	0	0	0	0	0	0	0	0	0	0	316059	65685986	110951736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97014	9622292	0	0	0	0	0	0	0	0	0	0	0	0	0	2655803	0	0	0	0	0	0	0	0
1287	0	16609282	0	0	0	0	833619	0	0	0	0	0	0	0	0	0	0	0	1352997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2375186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1290	0	7242833	0	26720257	0	0	259309	0	0	0	0	0	0	0	0	0	0	0	78966655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1214824	0	0	0	0	0	0	0	0
1293	0	6339595	0	219817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	942468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1296	0	8131882	0	7014373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37496041	0	0	0	0	0	0	0	0	0	0	3405033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1258863	0	0	0	0	0	0	0	0
1298	0	4265102	0	82572045	0	0	448641	0	0	0	0	0	0	0	0	0	0	0	70097858	0	0	0	0	0	0	0	55329261	0	0	0	0	0	0	0	0	0	0	0	0	21417200	0	0	0	0	0	0	0	0	0	0	0	0	0	5417093	0	0	0	0	0	0	0	0
1302	0	2735314	0	8019456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38925012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1087310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1306	0	6562653	0	0	0	0	0	0	106565	0	0	0	0	0	0	0	0	0	376124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1333	0	17553822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	0	20068146	0	0	0	0	2212234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2679497	0	0	0	0	0	0	1997043	0	0	0	0	0	0	0	11133336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009	0	8170587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17549514	15046632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	0	14478845	0	0	0	0	578771	0	0	0	0	0	0	0	0	0	0	0	1147209	564154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023	0	12771714	0	0	0	0	453413	0	0	0	0	0	0	0	0	0	0	0	962306	0	0	0	0	0	0	0	0	0	0	0	0	3201599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2029	0	11668103	0	7286382	113083	0	0	0	0	0	0	0	0	0	0	0	0	0	22921694	825862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236726	0	0	0	0	0	42054276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2051	0	23008480	0	0	0	0	0	0	0	0	0	7132069	0	0	0	0	0	0	0	0	0	0	47445	0	0	0	0	0	0	0	0	0	0	0	27727	0	0	0	9919724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	418386	0	0	0	0	0	0	0
2053	0	9938074	0	0	0	0	682983	0	0	0	0	0	0	0	0	0	0	0	6320627	1313371	4093543	0	0	0	0	0	0	0	0	0	0	7388633	0	0	0	0	0	0	3158633	94944281	0	0	0	0	0	0	17040152	0	0	0	0	0	0	1109700	0	0	0	0	0	0	0	0
2083	0	28880962	0	0	0	0	790762	0	9406.1	0	0	0	0	0	0	0	0	0	0	437060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23250	0	0	0	8823370	0	0	0	0	0	63491519	0	26384256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2089	0	29189828	0	0	0	0	1091444	0	0	0	0	0	0	0	0	0	0	0	3728510	286854	0	0	0	0	0	0	0	0	0	0	0	0	0	3169716	0	0	0	0	1002316.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2110	0	20277020	0	0	0	0	1027344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	725222	0	0	0	0	465109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2135	0	29480267	0	0	0	0	800769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3071370.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2145	0	7675553	0	0	0	0	380299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16345814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2146	0	19107874	0	0	0	0	1299006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2149	0	19611243	0	0	0	0	599153	0	144017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22707358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2153	0	26716780	0	0	0	0	736639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7101280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2187	0	5593320	0	0	0	0	0	0	5233.1	0	0	0	0	0	0	0	0	0	1978120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2188	0	3768795	0	0	0	0	361004	0	0	0	2459258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13853966	0	0	0	0	0	0	7391507.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2194	0	3060558	0	0	0	0	461450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5207468	9690632	316613	5430095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2212	0	6469457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65005373	0	0	0	0	0	0	0	0	0	0	0	0	1276728	0	681487	0	0
2215	0	16358065	0	0	0	0	725940	0	0	0	0	0	0	0	0	0	0	0	1540139	255096	0	0	80779	0	0	0	0	0	0	0	0	0	0	15112119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2481362	0	996776	0	0
2236	0	14015576	0	0	0	0	699567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5237769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2246	0	8220869	0	0	0	0	621448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4797339	0	0	0	0	0	0	2966694	0	0	0	0	0	0	0	11278577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2249	0	5777173.5	0	7984848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43356091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1643697	0	0	0	0	0	0	0	1073068	0	0	0	0	66776	0	0	0	0	0	0	0	0
2251	0	5621799	0	0	0	0	193316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2070419	0	0	0	0	0	51619358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2254	0	2941961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4013280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
