PLANTID,apple_id,ACCID,origin,species,use,country,world,release_year,acidity_16_stor,brix_16_stor,weight_16_stor,firmness_16_stor,brix_acid_16_stor,acidity_16_harv,juiciness_16_harv,date_16_harv,weight_16_harv,brix_16_harv,firmness_16_harv,flowering_16_harv,precocity_16_harv,brix_acid_16_harv,time_ripen_16_harv,percent_acidity_16,percent_brix_16,percent_weight_16,percent_firmness_16,percent_brix_acid_16,acidity_17_stor,brix_17_stor,weight_17_stor,firmness_17_stor,brix_acid_17_stor,brix_17_harv,acidity_17_harv,date_17_harv,firmness_17_harv,weight_17_harv,brix_acid_17_harv,percent_acidity_17,percent_brix_17,percent_weight_17,percent_firmness_17,percent_brix_acid_17,tpc,frap,time_ripen_2017
Pumpkin Sweet,1081,13121,USDA,domestica,dessert,United States,new,NA,0.9648,11.4,197.5144444,5.046,11.8159204,1.498035956,16.64277711,312.9119167,213.5816628,11.56290936,7.305478914,153.8840509,0.948641757,7.872383873,159.0586024,-35.59567139,-1.408895975,-7.522751797,-30.92855295,50.09329562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.288057794,3.036045715,NA
Quindell,1088,13836,USDA,domestica,dessert,United States,new,1965,3.5912,11.7,117.102,4.2312,3.257963912,4.489633463,16.69277711,305.2526048,122.6884484,10.95831495,6.859123991,152.101169,1.034766941,2.500035756,152.7642765,-20.01128757,6.76823994,-4.553361383,-38.31282237,30.31669261,NA,NA,NA,NA,NA,12.17947412,7.564180197,281.5729701,7.792700349,236.4789391,1.604206072,NA,NA,NA,NA,NA,3.653378509,3.424113545,129.555840793175
Mariborka,1098,208605,USDA,domestica,cider,Yugoslavia,old,NA,NA,12.55,139.9825,4.2221,NA,6.047777836,14.76947361,293.9969041,156.2758577,11.49532892,6.075555338,155.5062431,1.532781831,1.941339096,138.2032821,NA,9.174779457,-10.42602351,-30.50676416,NA,6.5928,13.1,151.092,3.8624,1.987016139,11.94113941,10.33432829,267.8395575,7.116492997,188.7760022,1.218387584,-36.20485227,9.704773942,-19.96228428,-45.72607601,63.08571798,1.975817141,2.158940848,112.290882714974
Malling Kent,1102,17595,USDA,domestica,dessert,United Kingdom,old,1974,4.3684,13.2,144.106,4.8266,3.021701309,5.305751426,16.13923948,310.359768,159.4328542,12.63026525,7.361879983,154.2557535,1.005479849,2.401406819,156.2652022,-17.6667045,4.510869235,-9.613359956,-34.43794233,25.83046263,5.5342,13.5,262.91,6.90725,2.439376965,11.86715385,7.563575703,282.2056205,8.001455151,275.6237034,1.587181663,-26.83090356,13.75937455,-4.61270322,-13.67507697,53.6923606,4.421483336,4.113430997,128.241180527165
Rose de Benauge,1104,239421,USDA,domestica,cider,France,old,NA,3.6314,12.4,65.959,6.358,3.414661012,4.782913754,15.23982599,305.1011857,94.58503658,11.41268903,9.949978341,156.8091391,1.567741878,2.356318982,148.585805,-24.0755701,8.650993372,-30.26486812,-36.10036342,44.91505767,NA,NA,NA,NA,NA,10.1258753,6.938995703,288.4892293,10.54943121,151.1930087,1.440668128,NA,NA,NA,NA,NA,6.689761045,6.446105221,131.451476991878
Potter Cox,1107,9577,USDA,domestica,dessert,United Kingdom,old,NA,7.839,13.7,109.408,5.4802,1.747671897,5.718312451,12.81453273,292.9674847,132.7894867,12.91541474,6.271704421,154.1062614,0.949328317,2.337034316,138.6590598,37.08589847,6.074797276,-17.60793515,-12.62024432,-25.2183896,7.504,15.1,197.868,5.044,2.012260128,12.7662385,12.52537006,265.0345426,10.53251098,175.1498431,1.04993117,-40.08959446,18.28072929,12.97069781,-52.11018523,91.65638525,4.311392115,4.940004941,111.186842825315
Mother,1109,8437,USDA,domestica,dessert,United States,new,NA,4.5158,13.6,174.0214286,5.59,3.011647991,5.518205419,11.93923948,271.4032332,180.0706909,12.33892009,7.321989098,155.3189642,1.506336745,2.284053013,117.5751477,-18.16542414,10.22034263,-3.359381961,-23.65462547,31.85543303,4.288,12.7,176.726,4.2716,2.961753731,11.85819087,5.154493978,260.3126837,7.859601817,149.7098532,2.321191018,-16.8104567,7.098967605,18.04567049,-45.65119074,27.59629466,3.289153198,5.449947854,106.393351168681
Obilnoye,1112,18022,USDA,domestica,dessert,Ukraine,old,NA,8.4554,12.9,103.67,5.0079,1.525652246,7.582913754,8.760892611,303.4016887,128.1550644,13.24760966,7.331787183,154.0062431,1.532781831,1.663035637,148.8889615,11.50594975,-2.623942525,-19.105811,-31.69605343,-8.26100103,5.6816,13.3,132.696,5.5322,2.34088989,12.65647503,8.421372342,282.6511472,8.499377434,160.0844052,1.421186148,-32.5335614,5.084551314,-17.10872785,-34.91052677,64.71381269,2.957148506,3.464737612,128.683281923823
Narjadnoye Crysmskoye,1115,17948,USDA,domestica,dessert,Former Soviet Union,old,NA,3.1088,13.2,150.368,2.4319,4.246011323,5.105751426,6.178054618,310.296336,165.7009003,12.03026525,4.933677604,154.306377,1.996372531,2.378842716,156.0763135,-39.11180274,9.723266488,-9.253359676,-50.70816954,78.49062883,NA,NA,NA,NA,NA,10.79726064,6.989470681,266.7362727,10.84725515,162.5992089,1.53632865,NA,NA,NA,NA,NA,2.76771507,2.222354338,112.615184140429
Lowry,1116,10412,USDA,domestica,dessert,United States,new,NA,NA,NA,153.618,7.0076,NA,2.285420898,14.04631474,311.7342457,202.5676611,13.42700013,8.412144565,153.9792918,0.976151305,5.785716902,157.7635514,NA,NA,-24.16459806,-16.69662895,NA,3.9664,12.7,134.899,5.4713,4.091203772,12.77083909,3.075927253,285.4279624,10.28874143,166.9746191,3.978959102,28.94973363,-0.554694072,-19.2098771,-46.82245599,2.820955613,2.391983991,2.380784015,131.420494194911
Manche Rouge,1121,140204,USDA,domestica,cider,France,old,NA,1.1658,14,61.675,8.6234,12.00892091,2.427005124,8.978054618,268.9721609,77.60435824,11.15616942,8.072316755,151.9758764,1.581211559,5.249038819,117.2429113,-51.96549079,25.49110253,-20.52637068,6.826828794,128.7832368,2.0368,12.4,43.56,7.167,6.087981147,12.44322388,4.033467139,240.6984669,10.93857743,70.3109742,3.323549035,-49.50250169,-0.347368814,-38.04665559,-34.47959716,83.17711227,11.55436196,12.01766131,88.7638922893692
